CODIGO;NOME;FABRICANTE;MONATADORA;VEICULO;OBSERVAÇÃO;ANO;MEDIDAS
AMD0702;AMORTECEDOR TRASEIRO LD/LE;PERFECT;TOYOTA;HILUX;PICKUP;2016/2019;Medidas:�MIN: 386 / M�X: 629
AMD0711;AMORTECEDOR DIANTEIRO LD/LE;PERFECT;TOYOTA;HILUX;PICKUP;2016/2020;Medidas:<�MIN: 424 / M�X: 548
AMD0715;AMORTECEDOR DIANTEIRO LD/LE;PERFECT;TOYOTA;HILUX;SW4;2016/2020;Medidas<:�MIN: 420 / M�X: 542
AMD20008;AMORTECEDOR DIANTEIRO LD/LE;PERFECT;TOYOTA;HILUX;2.8 4X4;1996/2004;Medidas<:�MIN: 230 / M�X: 351
AMD20009;AMORTECEDOR TRASEIRO LD/LE;;TOYOTA;HILUX;2.8 4X4;1997/2001;MIN: 337 / MÁX: 546
AMD2563;AMORTECEDOR TRASEIRO LD/LE;;TOYOTA;HILUX;;1997/2002;MIN: 312 / MÁX: 517
AMD50116;AMORTECEDOR DE DIREÇÃO;;TOYOTA;HILUX;4X4;1997/2005;MIN: 383 / MÁX: 595
AMD6513;AMORTECEDOR DIANTEIRO LD/LE;;TOYOTA;HILUX;PICK-UP;1996/2004;MIN: 347 / MÁX: 452
AMD6514;AMORTECEDOR DIANTEIRO LD/LE;;TOYOTA;HILUX;SW4 3.4/ 3.0/ 2.7/ 2.4;2005/2016;MIN: 415 / MÁX: 582
AMD6515;AMORTECEDOR TRASEIRO LD/LE;;TOYOTA;HILUX;SW4 3.4/ 3.0/ 2.7/ 2.4;2005/2016;MIN: 335 / MÁX: 557
AMD7412;AMORTECEDOR TRASEIRO LD/LE;;TOYOTA;HILUX;SRV;2001/2005;MIN: 375 / MÁX: 604
AMD7413;AMORTECEDOR TRASEIRO LD/LE;;TOYOTA;HILUX;PICK-UP;2005/2016;MIN: 352 / MÁX: 573
AMD8044;AMORTECEDOR DIANTEIRO LD/LE;;TOYOTA;HILUX;SRV;1996/2004;MIN: 229 / MÁX: 350
AMD8045;AMORTECEDOR DIANTEIRO LD/LE;;TOYOTA;HILUX;PICK-UP;2005/2016;MIN: 438 / MÁX: 553
BCH0701;BUCHA BARRA ESTABILIZADORA DT;;TOYOTA;HILUX;- -;2016/2020;
BCH0702;BUCHA MENOR DO JUMELO;;TOYOTA;HILUX;;2005/2015;
BCH0703;BUCHA MAIOR DO JUMELO;;TOYOTA;HILUX;;2005/2015;
BCH0708;BUCHA DA CAIXA DE DIREÇÃO;;TOYOTA;HILUX;MAIOR;2005/2015;
BCH0709;BUCHA DA CAIXA DE DIREÇÃO;;TOYOTA;HILUX;MENOR;2005/2015;
BCH0710;BUCHA MAIOR BANDEJA INFERIOR DT;;TOYOTA;HILUX;FURO DE 16,5MM;2016/2022;
BCH07101;BUCHA DO AMORTECEDOR DIANTEIRO;;TOYOTA;HILUX;INFERIOR 40MM;1992/2004;40MM
BCH07102;BUCHA DO AMORTECEDOR DIANTEIRO;;TOYOTA;HILUX;INFERIOR 42MM;2016/2025;42MM
BCH07103;BUCHA DA CAIXA DE DIREÇÃO;;TOYOTA;HILUX;FURO REDONDO MENOR;2005/2015;
BCH07104;BUCHA DA CAIXA DE DIREÇÃO;;TOYOTA;HILUX;FURO OVALIZADO MAIOR;2005/2015;
BCH07105;BUCHA DIANTEIRA DO FEIXE DE MOLAS TRASEIRO;;TOYOTA;HILUX;SUSPENSÃO TRASEIRA;2005/2015;
BCH07106;BUCHA DO AMORTECEDOR DIANTEIRO;;TOYOTA;HILUX;DIANTEIRA E TRASEIRA;1988/2005;
BCH0711;BUCHA MENOR BANDEJA INFERIOR DT;;TOYOTA;HILUX;FURO DE 16,5MM;2016/2022;
BCH0782;BUCHA DA BARRA ESTABILIZADORA DIANTEIRA;;TOYOTA;HILUX;Ø 25MM - SR5 4X4;1997/2004;Ø 25MM
BCH0797;BUCHA DO AMORTECEDOR DIANTEIRO;;TOYOTA;HILUX;35MM;2005/2015;35MM
BCH0799;BUCHA DO AMORTECEDOR DIANTEIRO;;TOYOTA;HILUX;INFERIOR 38MM;2005 / 2015;38MM
BCH40032;BUCHA PEQUENA DA BANDEJA SUPERIOR;;TOYOTA;HILUX;SR5;1993/1996;
BCH40150;BUCHA BANDEJA SUPERIOR;;TOYOTA;HILUX;;2005/...;
BCH40160;BUCHA MENOR BANDEJA INFERIOR DT;;TOYOTA;HILUX;;2005/2015;
BCH40170;BUCHA MAIOR BANDEJA INFERIOR DT;;TOYOTA;HILUX;;2005/2015;
BCH40450;BUCHA GRANDE DA BANDEJA SUPERIOR;;TOYOTA;HILUX;4X2 / 4X4;1993/2004;
BCH48061;BUCHA DA BANDEJA INF;;TOYOTA;HILUX;SR5;1993/1996;
BCH50362;BUCHA FEIXE MOLA TRASEIRO METAL;;TOYOTA;HILUX;4X2 / 4X4;1995/2015;
BCH50454;BUCHA BARRA ESTABILIZADORA;;TOYOTA;HILUX;;2005/2015;
BCH50540;BUCHA GRANDE DO JUMELO (INATIVO);;TOYOTA;HILUX;4X2 / 4X4;1993/2004;
BCH50541;BUCHA JUMELO PQ. TRASEIRO;;TOYOTA;HILUX;4X2 / 4X4;1993/2004;
BD0273;BOMBA D'ÁGUA;;TOYOTA;HILUX;2.8 DIESEL 3L;1993/2001;
BD0274;BOMBA D'ÁGUA;;TOYOTA;HILUX;3.0 D4D DIESEL;2006/...;
BDJ0709;BANDEJA INFERIOR LE COMPLETA;;TOYOTA;HILUX;;2016/2021;
BDJ0710;BANDEJA INFERIOR LD COMPLETA;;TOYOTA;HILUX;;2016/2021;
BDJ2020;BANDEJA SUPERIOR LD COMPLETA;;TOYOTA;HILUX;4X4;1997/2005;
BDJ2021;BANDEJA SUPERIOR LE COMPLETA;;TOYOTA;HILUX;4X4;1997/2005;
BDJ2052;BANDEJA INFERIOR LD COMPLETA;;TOYOTA;HILUX;;2005/2015;
BDJ2053;BANDEJA INFERIOR LE COMPLETA;;TOYOTA;HILUX;;2005/2015;
BDJ2054;BANDEJA SUPERIOR LD COMPLETA;;TOYOTA;HILUX;;2005/2020;
BDJ2055;BANDEJA SUPERIOR LE COMPLETA;;TOYOTA;HILUX;;2005/2020;
BRA40119;BRAÇO AUXILIAR;;TOYOTA;HILUX;4X2;1993/2006;
BRA4249;BRAÇO AUXILIAR;;TOYOTA;HILUX;2.8 3L 4X4;1991/2000;
BRA4259;BRAÇO AUXILIAR;;TOYOTA;HILUX;PICKUP SRV;2001/2005;
BRD0715;AXIAL DE DIREÇÃO;;TOYOTA;HILUX;- -;2016/2025;M14X1,5 - 301mm - M16X1,5
BRD9434;AXIAL DE DIREÇÃO;;TOYOTA;HILUX;SW4 3.0 TURBO DIESEL 1KZT;1995/2004;M18X1,5 - 130mm - M20X1,5
BRD9435;AXIAL DE DIREÇÃO;;TOYOTA;HILUX;SW4/ PICK-UP HIDR;2005/2015;M14X1,5 - 295mm - M15X1,5
BRP2249;BRAÇO PITMAN;;TOYOTA;HILUX;2.8 3L 4X4;1997/2000;COMPR 156mm / DENTES 48 / PINO 14,7mm - 1:10
BRP2250;BRAÇO PITMAN;;TOYOTA;HILUX;3.0 TD;2001/2005;COMPR 152,5mmM / DENTES 48 /PINO 14,6mm - 1:10
CDRD0062;CUBO DE RODA DIANTEIRO LD/LE;;TOYOTA;HILUX;3.0 LIMITED 16V;2014/2015;30 dentes - 6 furos - Ø 54mm
CDRD0147;CUBO DE RODA DIANTEIRO LD/LE;;TOYOTA;HILUX;3.0 4X4;2005/2011;30 dentes - 6 furos
CDRD0705;CUBO DE RODA DIANTEIRO LD/LE;;TOYOTA;HILUX;C/ ABS;2005/2016;Ø 54mm
CIR0700;CILINDRO DE RODA TRASEIRO LD/LE;;TOYOTA;HILUX;PICK-UP;2006/...;22,22mm
CIR0701;CILINDRO DE RODA TRASEIRO LD/LE;;TOYOTA;HILUX;SW4;1996/2000;20,63mm
COX0702;SUPORTE DIANTEIRO DO MOTOR;;TOYOTA;HILUX;2.8 4X4;1993/2004;
COX0710;SUPORTE DO CÂMBIO;;TOYOTA;HILUX;;2015/2020;
COX0711;SUPORTE DO MOTOR LD/LE;;TOYOTA;HILUX;2.8 TURBO DIESEL;2016/2019;
COX0712;COXIM DO CÂMBIO;;TOYOTA;HILUX;;2016/2021;
COX0713;REFIL - SUPORTE DO MOTOR LE;;TOYOTA;HILUX;SW4;2015/2021;
